"","id","lat","phi","alpha","nu","psi0","psi1","loglike"
"1",1,-76.0702444625451,0.0409712683703365,0.205063426105374,1.44479395022584,0.0325607581927656,0.0363819214479583,10455.077710904
"2",2,-72.3615810293448,0.0639059708765497,0.214126444412405,1.26112599365767,-0.0219390619558469,-0.00797387992897646,8574.84163984799
"3",3,-68.6520167895175,0.0998151546862543,0.319074016843903,1.5783228742578,-0.00623511131603516,-0.00447958842000658,7921.53189819787
"4",4,-64.9419494887575,0.0307773087084074,0.41821222118514,2.85624927126866,0.0312701860887017,-0.210941999702557,15622.1550259626
"5",5,-61.2315731880771,0.0216285723895799,0.460244085147141,3.14799735053358,0.00479480959614533,-23.2528270075002,18136.1541809289
"6",6,-57.52099379797,0.0124044748601161,0.421054392164928,2.75946324362626,0.0192990718515971,-0.975160856886548,19161.5105210107
"7",7,-53.8102740319414,0.00946987905877462,0.397415845635267,2.28883587063865,0.0156555427642029,-0.0198512408220127,19194.6977667112
"8",8,-50.0994534129868,0.00737457622000247,0.340938046686439,1.74113100332052,0.00858718071395531,0.0061421564215719,18829.7894800362
"9",9,-46.3885581116054,0.0084408840454345,0.329525681882826,1.53560998214916,0.00408001993308483,-0.0129846519812056,17910.651131495
"10",10,-42.6776061726049,0.0100902684774201,0.292553537731255,1.44273077955054,0.0247190101240749,-0.00454758911187969,16783.3318264416
"11",11,-38.966610469454,0.0105475853449681,0.203551865719659,1.11748146202343,0.0216793801536297,0.0796528862554951,15646.3987594429
"12",12,-35.2555804613682,0.0159570658457574,0.277025381577525,1.18376847137457,-0.0132005915999973,0.050417924556628,14526.6749227115
"13",13,-31.5445232840217,0.0355080095102019,0.440344105266162,1.26769497696333,1.29862693014972e-05,-0.00463094756477414,12540.4561077531
"14",14,-27.8334444519932,0.061121846473837,0.50803296351283,1.30199955690278,-0.0183291795667713,-0.0368159786422627,10889.9597121422
"15",15,-24.122348326088,0.0861794486168735,0.527436707469073,1.30645498500587,-0.0119171002166425,-0.0213559122290858,9650.8459005869
"16",16,-20.4112384335678,0.0809656235018607,0.432020743406553,0.920292215202653,-0.0319123339244301,-0.0503102795675927,8558.53670341244
"17",17,-16.7001176938427,0.0693605555289966,0.438125558793011,0.85603844727377,-0.00399071395359363,-0.0151438741823504,9103.85209719091
"18",18,-12.9889885820881,0.029136084658557,0.190527891394533,0.476317763629409,0.0252817769601162,0.0366780114290869,10973.0498884407
"19",19,-9.27785325150786,0.0253753581708283,0.119883191300296,0.359966449226324,-0.0206451053097847,0.0326049020022948,11196.7991844353
"20",20,-5.56671362791359,0.0304158889973121,0.0741457050909471,0.253941175097337,-0.0208731033243632,-0.0155866878884844,10276.1525729101
"21",21,-1.85557148599326,0.0391141129064842,0.0444471200255608,0.268007422663193,-0.0331721856204355,0.0136576808709898,9173.27912022037
"22",22,1.85557148599326,0.03674531066571,0.0375660353290609,0.275371763441429,-0.0291611726967282,-0.0233468858500139,9405.71151812731
"23",23,5.56671362791359,0.0415936213273991,0.0318537347159239,0.119943981398942,-0.0404781037492826,-0.0423876415767946,8865.89238397559
"24",24,9.27785325150786,0.0543917503774919,0.0512923057066685,0.0679456841859838,-0.0294238856547478,-0.0764199512838738,7824.40013090903
"25",25,12.9889885820881,0.0557446032824351,0.232763753304394,0.492527603941598,-0.0463699249953869,-0.0447476024779849,8537.30826112133
"26",26,16.7001176938427,0.0515588826341484,0.252398208317989,0.704421503112889,-0.0211613630817797,-0.00719971065343699,9145.18436618769
"27",27,20.4112384335678,0.0835786115801737,0.232597705464805,0.537448687037294,0.0325002323579665,-0.0474804244505619,6945.99661703119
"28",28,24.122348326088,0.100382118624976,0.29904468801136,0.715886924152294,-0.0420538676063599,-0.0213257397842112,6697.38561786722
"29",29,27.8334444519932,0.146589241629109,0.555287097507435,1.50376285950492,-0.00939549986559251,6.42173206456091e-06,8140.81806480261
"30",30,31.5445232840217,0.171753294492888,0.586078626018055,1.63423900615261,0.0389693037748494,-0.0057174403759387,8045.14703460953
"31",31,35.2555804613682,0.185063665596835,0.565312530506975,1.80242831393547,-0.00680641168203825,0.0224050816717207,7950.34534065173
"32",32,38.966610469454,0.15031416783129,0.457548359330785,1.6705300395212,0.0273966478035475,0.060142333101483,7579.24133433859
"33",33,42.6776061726049,0.116859796813683,0.350494042295117,1.37150586155362,0.047745606897623,0.0437715767045111,7255.35665653913
"34",34,46.3885581116054,0.0806421813720156,0.323313211415758,1.44922344651544,0.0521732097667365,0.0396033502776,8649.87481899113
"35",35,50.0994534129868,0.0706927329614173,0.296749575426593,1.51161270998843,0.0103954092470748,0.030032225692619,9048.586358005
"36",36,53.8102740319414,0.0909931647251576,0.33127621852025,1.64538735677065,0.0266088660123557,0.0360830875017459,8485.85625787287
"37",37,57.52099379797,0.117719146800881,0.323082879658411,1.58966720842448,-0.00668043135105937,-0.00109331172464751,7304.43388162684
"38",38,61.2315731880771,0.0723277332461005,0.21001634858267,1.35988482991031,-0.0191760606264578,-0.0347739611884965,8130.15494504056
"39",39,64.9419494887575,0.105415811570191,0.25936252703547,1.50406749569519,-0.00285306926257614,0.0162984948473161,7129.19251691707
"40",40,68.6520167895175,0.125694594741863,0.316387730844525,1.79818294793968,0.0108729491843364,0.0189795904881337,7249.44959095509
"41",41,72.3615810293448,0.311384286392754,0.349968928845892,1.54680119893248,0.0407522163283915,0.113742387398693,3546.19243024601
"42",42,76.0702444625451,0.118973845953172,0.29309893110631,1.7964644143381,-0.0844754164909647,-0.0345191688787055,7255.8721231299
